chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.37200603,0.12128958,2452.673326789029,2025.6681303264616,4162.759676846591,0.1575927734375,-181.01338,84.94404,-21.26459,-2.7899122,-12.662707,-0.7337156,-14.157465,-11.592539,-13.697277,-2.3058772,-4.4996567,5.601071,-5.6284676,-15.524972,-15.493453,-3.5563715,-11.261796,-3.2857466,-4.751713,-1.8709893,FAKE
0.5803882,0.0032581722,2803.5521468065963,2538.3890474802865,5697.245094992898,0.1643399325284091,-386.0921,71.740776,-39.717175,-13.732192,-3.1812499,7.8163714,-13.83219,-9.015621,-9.231111,-3.7522264,-11.514787,-4.0929356,-5.888756,0.008334171,-5.084618,-0.46260917,-4.86181,-0.04623462,0.02177891,1.7301774,FAKE
0.4870706,0.048254754,3068.886016540203,2704.2636655073024,6197.892067649148,0.17327325994318182,-308.6576,55.67693,-4.8080635,3.6538439,-7.7196355,7.1844344,-13.562099,-14.362601,-11.613387,-4.1571217,-9.965388,-4.6923943,-8.638057,-5.645066,-3.2423217,-2.403095,-10.963693,-4.357002,-2.928089,-3.1355684,FAKE
0.33128595,0.13004576,1949.3633684920003,1873.2140332005438,3259.588623046875,0.11609996448863637,-189.50664,105.3104,-6.339542,15.767094,-1.8803024,4.4340215,-15.382959,-22.910027,-20.128387,-4.128703,-16.989756,-7.051331,-9.595795,-13.950345,-11.847189,-1.0389619,-13.264602,-6.230487,-7.584737,-2.8371952,FAKE
0.33561647,0.10079663,2198.463785869016,2024.044932613569,3593.108575994318,0.12583229758522727,-224.67332,97.67931,1.7509186,0.14067002,-1.5606261,-1.5024239,-8.752642,-12.900226,-11.835333,2.1272275,-19.202799,-7.4891524,-8.800831,-11.987494,-11.81784,-3.5504007,-10.201063,-0.1260237,-7.930743,-1.9344722,FAKE
0.41737595,0.067327775,2325.1800724951395,2313.8143407955445,4400.848388671875,0.13442160866477273,-260.08606,96.64942,-9.813349,0.7041238,-5.6057253,-4.2561717,-6.955373,-8.984718,-16.3135,3.9950335,-5.5450106,0.85950035,-8.243848,-11.69617,-6.203737,-1.844473,-6.7659383,-4.965596,-8.619709,2.651637,FAKE
0.48383263,0.008501567,2265.1791266307864,2105.6942038330653,4129.72578568892,0.1257657137784091,-321.89005,93.64306,-44.5023,-6.3641953,-41.878727,-17.464106,8.408815,3.5224197,-16.538933,-9.678354,-13.622895,-1.4472477,-2.4884145,-2.0283856,-12.255115,-2.4283655,-3.199603,1.444061,-7.828469,-3.9462564,FAKE
0.40517566,0.070161104,2499.0422356303916,2242.8284890279047,4539.101340553977,0.1424560546875,-242.16948,79.32372,-23.404364,1.091782,-9.20702,-4.935305,-10.778539,-13.040155,-8.69289,2.5623486,-16.021736,-7.7767763,-3.668987,-5.568301,-5.1334305,-3.0708237,-9.857383,-3.2100022,-4.3496675,-1.4680564,FAKE
0.4848044,0.030510379,3201.2559738326136,2621.5609710552994,6079.459450461648,0.20387961647727273,-308.93576,61.906467,-10.070235,16.463705,1.3882216,-2.8405201,-15.273594,-8.2306595,-7.7641635,7.9708323,-1.1152638,-6.603481,-8.06188,-3.8214233,-6.4221525,-3.0011818,-4.3627033,1.6910743,-2.291805,-0.021571409,FAKE
0.5005689,0.006663291,3171.919969491163,2752.3932464002905,6448.704944957386,0.1927823153409091,-382.9742,65.01928,-9.864754,8.039011,-6.8086743,3.449972,-0.2694057,-3.1884575,-14.176373,-3.568602,-8.08025,-9.487755,-8.444223,1.7662657,-5.971019,-8.516403,-5.247456,5.0219846,-3.7497861,-0.33096513,FAKE
0.35855803,0.05696654,2299.356201177504,2478.8852421852457,4235.678932883523,0.09677956321022728,-257.97397,90.63213,7.3817687,11.237702,15.6767645,6.5062275,-4.158655,-19.23146,-7.3263383,6.42525,-9.614468,-3.1236098,-8.587356,-11.02591,-13.011079,-1.4286962,-8.341302,-6.5687776,-5.3928313,2.6761858,FAKE
0.43551987,0.036261115,2472.758202689859,2366.730928861714,4438.286798650568,0.15424138849431818,-280.34225,82.85651,15.010297,27.498272,15.209405,9.298862,-14.027416,-14.767054,-12.22731,0.22125925,-6.201446,-3.3207083,-5.1881223,-7.3650985,-9.816273,0.5413376,-9.758502,-8.167152,-5.414925,0.46769273,FAKE
0.48838285,0.025252366,2370.077293455588,2408.628029140085,4379.070490056818,0.1401034268465909,-329.60068,93.50485,11.096973,14.50845,14.270046,1.0312674,-9.2905855,-5.0044255,-9.323869,-6.566049,-4.5632014,0.7746864,-4.4535832,-2.5521295,-11.335913,-3.4157257,-5.714735,-1.2981648,-5.0314965,0.72640413,FAKE
0.4580571,0.01415298,2488.5455338975453,2536.8714007755525,4998.639470880682,0.15056818181818182,-369.14157,94.08977,-2.9519167,-1.9232861,-6.5178757,-5.8457365,-4.9352794,3.4065697,-3.6690512,0.06347554,-7.8810897,-0.54321927,-5.263703,-4.103604,-7.6183853,-2.455181,-3.4577096,2.0325348,-1.2717388,3.3183737,FAKE
0.42547384,0.052046597,2514.2287910623786,2331.183696668401,4781.839266690341,0.15029074928977273,-299.95914,82.61641,-25.306435,1.3956933,-12.90227,-13.9269495,-7.2491984,-3.58505,-15.490799,-3.9877264,-8.404632,1.0157627,-0.011267141,-8.473458,-9.855335,-3.94511,-9.6768,1.7922184,-2.045427,0.08217253,FAKE
0.42676994,0.014342492,3220.83303674948,2709.5696571052426,6151.399924538352,0.18756658380681818,-407.0073,63.12838,16.348818,14.064729,-2.943649,6.721185,-16.504108,-6.1776414,-8.626189,-2.5459373,-5.000166,-11.17194,-8.619087,0.9326195,-4.863203,-3.558671,-7.446672,0.06700785,-1.0437108,0.17822985,FAKE
0.4464477,0.05248189,2541.1203864795057,2578.6601420024544,5380.853826349432,0.13144753196022727,-368.26343,78.72735,-4.6060667,19.409819,13.054803,-6.4890227,-17.26917,-16.388567,-8.019279,-2.526009,-16.074656,-9.389216,-4.754051,-3.5078452,-2.1493292,-3.8509462,-10.136801,-3.967145,-3.2734842,-2.34939,FAKE
0.49959078,0.035550073,2295.264777066633,2594.485931492813,5080.123069069602,0.08894486860795454,-364.69333,98.2041,10.473148,9.361864,7.8025436,8.934735,1.6054955,3.382619,-8.665649,4.070428,-3.650811,-1.9291462,-5.665359,-8.339774,-5.6681013,1.361026,-2.834913,2.9312925,0.3739912,2.12897,FAKE
0.58437425,0.0014745172,2911.328123229206,2697.6796803547736,6058.660333806818,0.14689497514204544,-469.20712,75.951,-5.5741043,8.062865,-8.666155,1.0818177,-11.692477,-8.065551,-14.573517,-5.723169,-6.759692,-6.2373424,-8.280319,-0.063071445,-4.727601,0.67606026,-5.531819,-2.3891075,-2.4433348,1.5707352,FAKE
0.5434563,0.0015031566,2925.3869491271817,2694.19573603915,5946.100408380682,0.1699551669034091,-458.89023,76.220695,-3.1892076,11.206997,-11.901242,6.6528425,-14.927521,-9.442265,-10.883234,-8.925989,-3.7990868,-6.0701466,-8.14844,1.9946251,-4.286575,0.7457395,-3.258925,-2.3694339,-3.142965,0.27219102,FAKE
0.4453625,0.053045634,2751.4071903871372,2384.037659292367,4927.677778764205,0.18116344105113635,-273.05588,68.249626,18.669308,32.684986,6.3985515,8.528897,-12.004751,-12.589483,-13.552221,-3.7211568,-10.613023,-7.479527,-10.861582,-5.8109508,-7.4572697,-0.9652104,-9.276859,-3.7827165,-5.4170475,2.894638,FAKE
0.5094112,0.032099817,3496.1729542465328,2454.986869813822,6163.14530806108,0.2527410333806818,-309.57617,33.42621,4.3826504,24.141249,-10.807467,2.4926355,-14.23226,-4.663214,-8.7447195,0.5411526,-0.09448945,1.4395171,-2.5834353,-0.90248626,-6.522246,0.16461132,-4.861545,-2.211053,-0.91131073,0.632608,FAKE
0.39703062,0.049472794,2634.727766967576,2335.2038248442336,4705.249578302557,0.15425248579545456,-260.5255,59.82745,11.690207,49.2527,31.017597,16.091179,-16.464354,-16.385633,-5.8461823,1.1856245,-12.926501,-7.9262767,-11.38569,-7.470746,-12.284614,0.014374148,-10.522958,-6.507293,-4.363662,1.9439088,FAKE
0.53120285,0.023528289,3086.5884980429737,2580.734031083317,5561.194402521307,0.2178067294034091,-389.9329,65.41584,12.15794,16.631693,0.35516173,3.5376189,-5.6102567,0.7006924,-5.597087,1.3250308,-5.7478824,-2.5334966,-7.51413,-1.1048646,-7.219745,-1.0463461,-6.162352,1.1025444,-0.83744884,1.4983608,FAKE
0.36570376,0.060802523,1807.0549174011007,2280.576883968763,3263.503750887784,0.07813609730113637,-282.06735,108.04873,6.0624776,16.463573,23.86767,2.132174,-9.327821,-16.461834,-11.758262,0.5003647,-11.798312,-4.6241717,-7.390299,-6.7559266,-10.015195,-0.32763022,-12.628174,-8.858494,-7.6151276,3.8876333,FAKE
0.5876282,0.015652323,4009.2149497584874,2512.478209096427,6739.15849165483,0.2996826171875,-352.37045,10.427838,-4.8754687,21.698164,-9.491764,13.357367,-19.516607,-5.431446,-4.0644283,5.480878,1.6647687,-1.2541966,-5.8215175,4.843764,-3.4764228,-0.14619936,-6.568887,-2.8175673,-0.73518467,2.5513976,FAKE
